Course,Top1,Top1_Count,Top2,Top2_Count,Top3,Top3_Count,Total_Reviews
CS 115,Learning community,57,Academic staff and support,43,Covid-19 pandemic,34,86
MATH 135,Learning community,194,Academic staff and support,154,Organisation and management,100,253
ECON 101,Learning community,119,Academic staff and support,95,Covid-19 pandemic,84,214
PSYCH 101,Learning community,5,Assessment and feedback,4,Covid-19 pandemic,4,8
MATH 137,Learning community,94,Academic staff and support,78,Learning opportunities,77,171
CHE 102,Learning community,82,Academic staff and support,74,Learning opportunities,50,130
MATH 115,Learning community,97,Academic staff and support,81,Organisation and management,47,135
CS 135,Learning community,136,Learning opportunities,85,Teaching,82,146
MATH 136,Learning community,83,Teaching,76,Learning opportunities,63,132
PD 1,Learning community,128,Teaching,69,Overall,62,126
STAT 230,Learning community,74,Teaching,67,Learning opportunities,49,131
MATH 138,Assessment and feedback,4,Teaching,4,Learning community,4,8
CS 240,Learning community,95,Teaching,45,Learning opportunities,43,86
CS 246,Learning community,104,Learning opportunities,54,Overall,53,112
ECON 102,Teaching,68,Learning community,68,Learning opportunities,60,113
CHEM 120,Learning community,79,Teaching,65,Learning opportunities,56,116
CS 341,Learning community,38,Learning opportunities,20,Teaching,19,33
